Publication Year,Author Keywords,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Smart Grid;IoT;Cybersecurity;Digital Twins,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Industry 4.0 and Beyond;Industry Internet of Things;Digital Twin Network;Resource Allocation;Service Equilibrium;Prioritized Experience Replay,,,,,,,,,,,,,,,,,,,,,,,,,
2023,digital twin;digital power grid;power grid intelligent operation and maintenance;power grid inspection,,,,,,,,,,,,,,,,,,,,,,,,,
2023,IoT;Digital Twin;Middleware;Smart Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twin;blockchain;authentication;key agreement;security,,,,,,,,,,,,,,,,,,,,,,,,,
2021,digital twin;smart factory;machine learning;production systems;web,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Azure Digital Twin (ADT);Wind Turbine;PMSG;industry 4.0;ML;IEC 61400-25;IEC 61400-27-1-2020,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;3D visualization;user interface;discrete event simulation;IRC;assembly line,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twin;sustainability;SDGs,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Beyond fifth-generation (5G) network;digital twin (DT);Internet of Things (IoT);Internet of Vehicles (IoV);sixth-generation (6G) network,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital twin;Cloud computing;Internet of things;State of charge;State of health,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Artificial intelligence (AI);business models;cyber physical systems (CPSs);digital twin (DT);Internet of Things (IoT);machine learning (ML);multiagent systems;network function virtualization;sensors;servitization;smart city;software architecture;softwarization;virtual and augmented reality,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Computation offloading;deep reinforcement learning (DRL);digital twin;industrial Internet of Things (IIoT),,,,,,,,,,,,,,,,,,,,,,,,,
2021,Delayed rejection;digital twin;edge computing;federated analytics;finite Gaussian mixture;Markov chain Monte Carlo (MCMC),,,,,,,,,,,,,,,,,,,,,,,,,
2021,Cancer;Digital Twins;Application of medicine,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Cloud computing;data model;digital twin;Internet of Things;simulation;virtualization,,,,,,,,,,,,,,,,,,,,,,,,,
2020,IoT;metrology;digital calibration certificate;security;Digital Twin,,,,,,,,,,,,,,,,,,,,,,,,,
2021,intelligent monitoring;digital twin;symbiosis of virtuality and reality;research;operation safety;dam,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital Twin;Facility Management;Predictive Maintenance;Internet of Things;Building Information Modeling,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital twin;internet of things;big data;smart infrastructure;smart city,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin technology (DTwT);Internet of Robotic things (IoRT);surgery;future surgical sector;healthcare,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital Twin (DT);Industry 4.0;fault tolerance;Internet of Things (IoT);neural networks;sensor validation,,,,,,,,,,,,,,,,,,,,,,,,,
2020,cyber-physical system;Internet of Things;model-oriented control;microprocessors;High Level Architecture;CEN;FPGA;ARM,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Reference Architecture Model Industrie 4.0 (RAMI 4.0);Model-based Systems Engineering (MBSE);Industrial Internet of Things (IIoT);AutomationML;Model-driven Architecture (MDA),,,,,,,,,,,,,,,,,,,,,,,,,
2022,5G edge computing;digital twin (DT);distribution grid;federated learning (FL);security and latency awareness,,,,,,,,,,,,,,,,,,,,,,,,,
2021,resilience urban;new generation information and communication technology;robustness,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Building digital twin (BDT);building information modeling (BIM);computer vision (CV);digital twin (DT),,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,AutomationML;Digital Twin;Cloud;IoT;Model-Driven Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Counterfactual explanations;digital twins;Internet of Things;machine learning;smart health;sociotechnical design;wearables,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital twin (DT);Industry 4.0;Fiber Indstry;Basalt Fiber Production;PLM;Industrial IoT (IIoT),,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Federated learning;Non-orthogonal Multiple Access,,,,,,,,,,,,,,,,,,,,,,,,,
2021,service science;semiparallel service system;ACP;complex systems modeling,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Connected vehicles;cooperative driving;non-signalized intersections;Digital Twin;human-machine interface,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Smart Lighting;Street Lighting;Virtual Reality;Digital Twin;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Data collection;deep reinforcement learning (DRL);Internet of Things (IoT);trajectory design;unmanned aerial vehicle (UAV) communications,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital Twin;Discrete-event simulation;Industry 4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Cloud-edge-device collaboration;digital twin (DT);electrical equipment management;federated learning (FL);reliability and communication efficiency,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Building information modeling;digital twin;life cycle management;Internet of Things;wireless sensor network,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Communication;Computation;Resource Allocation;Digital Twin;IIoT,,,,,,,,,,,,,,,,,,,,,,,,,
2021,LED;Luminaire;Artificial intelligence;Self-learning Digital twins;prescriptive twins,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Alternating direction method of multiplier (ADMM);digital twin (DT);incentives;Internet of Vehicles (IoV);Stackelberg game,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Security;Virtual Sensors;Actuators;Internet of Things (IoT);Big Data Algorithms;Digital Twin,,,,,,,,,,,,,,,,,,,,,,,,,
2022,smart manufacturing;shop floor;5G;digital twin;integrated system,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital Twin;Evolution;Virtualization;IoT;IIoT;Connectivity;Security;Flowmeter,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Artificial intelligence;automatic learning;big data;decision support system;digital twin;Industry 4.0;microgrids,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Internet of things;tangibles;learning support,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twins;Anomaly Detection;Cyber-Physical Systems;Process Mining;IIoT;Autonomic Computing,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Mobile edge computing;digital twin;IoT,,,,,,,,,,,,,,,,,,,,,,,,,
2021,LIDAR;point cloud;rendering;surface reconstruction;digital twin,,,,,,,,,,,,,,,,,,,,,,,,,
2022,intelligent high-speed railway;digital twinning;data governance;Internet of things;sensors;big data center,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Distributed Ledger Technology;Smart Contract;License Agreement;Intellectual Property;Blockchain,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;low-carbon smart park;federated learning;resource management,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Deep reinforcement learning (DRL);federated learning;client selection;resource allocation,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital Twins;Industry 4.0;Virtualization,,,,,,,,,,,,,,,,,,,,,,,,,
2021,car as a service;digital twin;modeling and deployment;smart city,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Polymorphic learning algorithm;Digital twin;Heterogeneous resources,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;thermal analysis;reduced order model (ROM);virtual model;cloud platform;control system;enabling technologies,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Metaverse;Generation Algorithm;Multi-scene;Virtual Images;Dynamic Pictures,,,,,,,,,,,,,,,,,,,,,,,,,
2019,digital twin;Internet of Things;Industry 4.0;efficiency;virtual model,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twin;IoT;Smart City;Smart Port;Supply Chain,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Metaverse;finance;banking;artificial intelligence;blockchain;digital twins,,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital twins;multi-dimensional multi-scale modeling;ship mould bed;height adjustment,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;historic building;indoor environment;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2019,industry 4.0;digital twins;automatic composition,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Building Information Model;Metaverse;semantic Web;ontology;explainability;digital twin;virtual reality;3D interaction;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,3D City model;Photorealistic texture;digital twin;Smart City applications,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Computation offloading;digital twin (DT);Industrial Internet of Thing (IIoT);mobile edge computing (MEC);privacy investment;resource allocation;Stackelberg game,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;automation;didactics;technological innovation;industrial internet of things IIOT,,,,,,,,,,,,,,,,,,,,,,,,,
2022,data center (DC);energy conservation;digital twin;AI,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Traffic flow visualization;level of detail;situational awareness;traffic sensor network;urban mobility;traffic monitoring,,,,,,,,,,,,,,,,,,,,,,,,,
2023,digital twin;industrial Internet of Things;multi-access edge computing;non-orthogonal multiple access,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Industrial Internet of Things (IIoTs);Industry 4.0;reconfigurable intelligent surface (RIS);smart factory;ultrareliable and low-latency communication (URLLC);unsupervised deep learning (DL),,,,,,,,,,,,,,,,,,,,,,,,,
2021,Artificial intelligence (AI);big data;blockchain;COVID-19;digital twin;eHealth;healthcare;Internet of Things (IoT);pandemic;robotics;wearable,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital twin;networked microgrids;distributed control;industrial Internet of Things;cybersecurity,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Manufacturing;Simulation;CAD model. IoT;Sensors;Small and medium-sized enterprises,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twins;heterogeneous digital twins IoT;adaptive caching;evolutionary game;evolutionary stability strategies,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Digital Twin;DES;IOT;Pervasive Computing;Hospital Services,,,,,,,,,,,,,,,,,,,,,,,,,
2022,smart home;remote collaboration;immersive company;solitary senior,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Industrial Internet of Things (IIoT);mobile crowdsensing;digital twin;federated learning;knowledge distillation;incentive mechanism,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;Electromobility;Bigdata;5G;IoT;Autonomous Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Artificial Intelligence;digital twin;classes;IoT;Machine learning;solar energy,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Data security;Digital Twin;encryption;decryption;IoT,,,,,,,,,,,,,,,,,,,,,,,,,
2022,power grid infrastructure projects;digital twin;BIM;PSO algorithm;BP algorithm;planning management,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Internet of Things;trust management;digital twin;blockchain;metaverse,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twins;electrocardiogram (ECG);Internet of Healthcare Things (IoHT);joint dictionary learning;photoplethysmogram (PPG);sparse coding,,,,,,,,,,,,,,,,,,,,,,,,,
2021,SAP;AnyLogic;Digital Twins;Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Digital Twins;Agriculture 4.0;Vertical Farming;Sustainability;GRL,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Bluetooth low energy (BLE);digital twin (DT);factory logistics;indoor localization;Industrial Internet of Things (IIoTs);long short-term memory (LSTM) network;ultra-wideband (UWB),,,,,,,,,,,,,,,,,,,,,,,,,
2021,Cyber Physical Systems;Digital Twins;Cybersecurity,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Internet of Things;smart industries;future manufacturing;access control;security;privacy;digital twins;attribute-based access control,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital twin;Internet of Things;big data analytics;smart building,,,,,,,,,,,,,,,,,,,,,,,,,
2021,IoTwins;Digital Twins;Cloud;Edge;IoT;Service Orchestration,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital Twin;Food equipment;Safety;Industry 4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Multi-access Edge Computing;CoAP;Digital Twin;OMA LwM2M;MQTT;MaaS,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Multi-UAV system;Digital twin;Task assignment;Deep reinforcement learning,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Security;Internet of Things;Cyber-Physical Systems,,,,,,,,,,,,,,,,,,,,,,,,,
2018,big data processing;augmented reality;digital twin;cloud computing;internet of things;real-time processing;micro services;wind farms;smart control station,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital twin;inland waterway;safety management;video fusion;safety management;inland waterway;3D panorama,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;manufacturer usage description (MUD);network security;software-defined networking (SDN),,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Data Fusion;Digital Twin;Predictive Maintenance;Manufacturing Industry;IoT Technology;Machine Learning;Supervised Learning Algorithms,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Blockstack naming system (BNS);decentralized identifiers (DID);electronic product code (EPC);GNU name system (GNS);handle;industrial Internet of Things (IIoT);identity resolution system;object identifier (OID);ubiquitous ID (UID),,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twins;Asset Administration Shell;System-of-Systems;Internet of Things;Industry 4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019,CPS;Digital Twin;Federate;Federation;High Level Architecture;IoT;IEEE 1451;IEEE 1516;Smart Sensor,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Blockchain;Deep Learning (DL);Digital Twin (DT);Industrial Internet of Things (IIoT);Smart Contract,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Upper limb dysfunction;telerehabilitation;digital twin;robot-aided therapy;the Industrial Internet of Things (IIoT);augmented reality;motion visualization;ThingWorx;Vuforia studio,,,,,,,,,,,,,,,,,,,,,,,,,
2020,industry 4.0;commercial greenhouse;digital twin;data architecture;production process,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"eRobotics;experimentable digital twin (EDT);intelligent systems;simulation-based systems engineering;simulation-based X, virtual testbed (VTB)",,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digitalization;digital twin (DT);industry 4.0;extended reality;industrial Internet of Things (IIoT);oil and gas,,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital twin;multi-perspective modelling;smart agriculture,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Deep reinforcement learning (DRL);digital twin (DT);flocking motion;multi-UAV systems,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Condition monitoring;digital twin;finite element analysis;induction motors;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2023,industrial Internet;deterministic networking;networking middleware,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Blockchain;digital twin;Industry 4.0;Internet of Things (IoT);quantum resilient,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Data link;digital twin;industrial communication;industrial internet of things;cyber-physical systems,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin Synchronization;Data Acquisition;Data Identification;Industrial Automation;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Cyber-Physical-Social Systems (CPSS);Digital Twins (DT);Energy Systems(ES);Machine Learning (ML),,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Distributed manufacturing;knitting industry;parallel intelligence;large-scale flexible production,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Mobile AR;digital twin;multimodal recognition;Bayesian attractor model;Bayesian causal inference,,,,,,,,,,,,,,,,,,,,,,,,,
2021,agriculture;artificial intelligence (AI);digital twin;internet of things (IoT);digital farming;smart agriculture,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twin;MBSE;Systems Engineering;System Model;SysML,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Deep learning (DL);digital twin (DT);industrial Internet of Things (IIoT);IIoT protocols;Internet of Things (IoT);machine learning (ML);supervisory control and data acquisition (SCADA);security,,,,,,,,,,,,,,,,,,,,,,,,,
2020,VANET;authentication;privacy;message integrity,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Internet of Things (IoT) security;property-based provisioning;secure device provisioning;smart infrastructure security,,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital twin;Multi-source information fusion;IoT platform;network communication;server,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Cooperation;deep reinforcement learning (DRL);digital twin network (DTN);multiaccess edge computing (MEC);radio access network (RAN) slicing,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Data Security;Sharing;IoT;Digital Twins;Access Control;Tag Based Access Control;Edge Centric,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Private Network;5G NR-U;Oil & Gas;Prediction plots;RAN Architecture;DRCS (Dedicated Short-Range Communications);ITS (Intelligent Transport System;Effective Isotropic Radiated Power (EIRP),,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital Twin;IoT;Industry 4.0;RAMI 4.0;CPS;Robotic Networks;Prototyping;Ocean Observation,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Mobile Edge Computing;Digital Twin;Service Caching;Dependency,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin (DT);DT features;DT properties;stage-based DT implementation,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Smart Lighting;Street Lighting;Virtual Reality;Digital Twin;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Industry 4.0;Long Short Term Memory;Auto Encoders;Smart Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Internet of Things;Intelligent Architectures;Digital Twins,,,,,,,,,,,,,,,,,,,,,,,,,
2023,content delivery;digital twin;edge networks;QoD;QoE,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Grant-free random access;6G;mobile edge computing;digital twin,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Unmanned Aerial Vehicles;Machine Learning;5G NR;Digital Twin,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Artificial intelligence;big data analytics;communication technologies;digital twin;edge computing;fog;cloud;health care 4.0;industry 4.0;RAMI 4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Lane change prediction;driver behavior modeling;connected and automated vehicle;field implementation;digital twin,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Supply chain finance;blockchain;smart contracts;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Internet of Things;line graph;reinforcement learning;service provisioning;subgraph,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Digital Twin;Machine Learning;Behavioral Analytics;CPS;Privacy Enhancement,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twin;software testing;reinforcement learning;industry 4.0;machine learning,,,,,,,,,,,,,,,,,,,,,,,,,
2022,6G;artificial intelligence (AI);blockchain;digital twin (DT);edge computing;microservices,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Internet of Things (IoT);Emerging Technology;Disruptive Technology;Smart Transportation;Innovation for Sustainable Development;Industry 4.0 (I4.0),,,,,,,,,,,,,,,,,,,,,,,,,
2023,Visual Textual Alignment;Generalizable Person Re-Identification;Attribute-aided;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Industrial Internet of Things (IIoT);Air Quality Monitoring;Yet Another Next Generation (YANG) Data Model;Digital Twins (DT),,,,,,,,,,,,,,,,,,,,,,,,,
2022,Big data;BIM;quality management,,,,,,,,,,,,,,,,,,,,,,,,,
2020,digital twin;product lifecycle;IoT;information system;PLIM,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Internet of Things;Digital twin;Virtual prototyping;Data collection and analysis,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Smart manufacturing;digital twin shop-floor (DTS);digital twin;virtual shop-floor (VS);shop-floor service system (SSS);shop-floor digital twin data (SDTD);convergence;cyber-physical system (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twin;Internet of Things;dynamic systems;sensor networks;state estimation;scheduling policies,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Cyber-Physical System;Information System Architecture;Internet of Things;Digital Twin;InfluxData Platform,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Consolidated Digital Twin;Telecommunication Tower;Civil Infrastructure;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,edge computing;software-defined edge intelligent controller;product quality inspection;machine vision;industrial information model,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Industry 4.0;Cloud-Based System;smart factory;Internet of Things;digital twin;cloud computing,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Additive manufacturing;Industry 4.0;Fused Deposition Modelling;in-situ monitoring;digital twin;internet of things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital twin;water plant to add medicine;cloud edge collaboration;big data,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,information system;risk;drivers;services;personal data;AI;AR;data subject;digital twin;data protection;machine learning;artificial intelligence;pattern recognition;visualization,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Metaverse;mobile augmented reality;6G wire-less communications;digital twin;reinforcement learning;Internet of Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Anomaly detection;control systems;cyberattack;cyber-physical systems;data analysis;digital twins;fault detection;intelligent automation;manufacturing automation;model checking;security,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Heterogeneous vehicular networks;digital twins;content delivery;vehicular networks;game theory,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Anomaly Detection;N-Step approach;Smart Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Internet of things;Cyber Security;industrial IOT;digital twins;threats,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin technology;machine learning;LSTM;error prediction;smart devices;battery degradation;Lithium-ion battery,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,UAV network;intrusion detection system;federated continuous learning;stacked broad learning system;digital twin network,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;cybersecurity;industry 40,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Industry 4.0;Cyber physical systems;Internet of Things;Digital twin;Smart factory,,,,,,,,,,,,,,,,,,,,,,,,,
2020,software-defined networking;disadvantaged network;digital twin;edge computing;machine learning;k-means clustering;internet of battlefield things;communication;mesh network;mininet-wifi;controller;wireless backhaul network;topology manager,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Internet of Things;middleware;platform virtualization;wireless sensor networks;clouds;information-centric networking,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital Twin;Artificial Intelligence;Ensemble Learning;Blockchain;Smart Contract;CNC;Industry 4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Control Systems;Digital Twin;Internet of Things;IoT;Industry 4.0;Intelligent Control Engineering;Industrial Artificial Intelligence;Hardware-in-the-loop,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,blockchain;digital twins;digital building log-book;climate reporting,,,,,,,,,,,,,,,,,,,,,,,,,
2022,I4.0;IIoT;blockchain;decentralization;security;optimization;application;platform;identity resolution system;digital twins,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,industrial cyber physical system;edge computing;smart grid;real time;fault prediction;transient state estimation;neural networks,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Mining digitalization;data management;data analytics;data visualization;data fusion,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;IIoT;WIFI;5G;ISO/APK,,,,,,,,,,,,,,,,,,,,,,,,,
2023,IoT;mobile networks;signaling;overload control;network survivability;simulation;measurement;GTP;SIGTRAN,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,digital twin modeling;industrial IoT design;system-of-systems modeling,,,,,,,,,,,,,,,,,,,,,,,,,
2023,mobile edge computing;Internet of Things;deep reinforcement learning;digital twin,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Segment Routing;SR;metric;route;routing protocols;IGP;Quality of Service;QoS;latency;Fog Computing;Internet of Things;IoT;Cloud Computing;Grid;Grid Computing;Smart Grid,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Distributed Ledger Technology;Blockchain;Internet-of-Things Devices;Industrial Internet,,,,,,,,,,,,,,,,,,,,,,,,,
2022,6G;digital twins;emergent intelligence;swarm,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twins;Distributed Learning;Blockchain;Data privacy protection;Digital economy development,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Digital twin;elderly healthcare;personal health management;cloud computing;precision medicine;interaction;convergence,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Intelligent Optical Network;Digital Twin;Cyber Physical Social System,,,,,,,,,,,,,,,,,,,,,,,,,
2023,MPC;ANN;IoT;MQTT;Building energy efficiency,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital twin;fault tolerance;Industry 40;Internet of Things;machine learning;sensor validation,,,,,,,,,,,,,,,,,,,,,,,,,
2022,sensor fusion;measurement uncertainty;IIoT,,,,,,,,,,,,,,,,,,,,,,,,,
2021,massive IoT;digital twin;edge networks;kubernetes;eclipse hono;eclipse ditto,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Digital twin;cyber-physical systems;Internet-of-Things;social internet of vehicles;sensing-as-a-service;analytical model,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Demand Response;System Architecture;Internet of Things;Mining Enterprise;Platform;Load Forecasting;Digital Twin,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Chaos Engineering;Digital Twin;Entanglement;Industrial Internet of Things;Industry 4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023,industrial Internet of Things (IIoT);digital twin (DT);swarm learning (SL);reliability;deep reinforcement learning (DRL),,,,,,,,,,,,,,,,,,,,,,,,,
2020,Technology assessment;decision-making;digital twins;cyber-physical system;production logistics,,,,,,,,,,,,,,,,,,,,,,,,,
